chromosome	position	sigma	logBFs	alpha	beta
chrI	29056	0.0840748	16.739	4458.28	4112.52
chrI	29078	-0.0687003	-16.0724	5184.36	5566.8
chrI	29180	0.0282812	3.99489	5720.74	5563.4
chrI	29332	-0.0353375	-5.5892	5448.43	5648.02
chrI	29352	0.0139062	1.27373	3227.14	3182.88
chrI	29354	0.0374374	5.81101	5682.92	5477.84
chrI	29479	-0.0264032	-3.75477	5499.84	5648.99
chrI	29560	-0.043205	-7.62851	5480.67	5728.16
chrI	29587	-0.0474937	-8.77692	5396.03	5665.09
chrI	29693	0.000688146	0.0445068	2520.16	2518.43
chrI	29700	-0.0472563	-8.23332	5025.95	5275.23
chrI	29746	-0.0467	-8.65224	5487.05	5755.84
chrI	29817	-0.0583475	-11.9501	5147.33	5466.27
chrI	30036	-0.0512139	-6.33426	3010.9	3173.42
chrI	30044	-0.0490668	-5.66991	2825.01	2970.77
chrI	30055	-0.094975	-17.7374	2922.96	3229.7
chrI	30066	-0.075394	-11.3016	2811.24	3040.48
chrI	30179	-0.0113265	-1.05239	3156.76	3192.92
chrI	30190	-0.0160755	-1.51825	3139.4	3190.7
chrI	30220	-0.0233256	-2.38593	3349.12	3429.11
chrI	30226	-0.0290284	-3.19936	3512.77	3617.79
chrI	30232	-0.0278459	-3.74511	4913.96	5054.72
chrI	30239	-0.0474095	-6.3458	3542.09	3718.38
chrI	30490	-0.0107876	-1.09758	3784.72	3825.99
chrI	30693	0.0444322	5.78701	4050.14	3877.84
chrI	30787	-0.023118	-2.3541	3331.7	3410.55
chrI	30867	-0.0429375	-7.62395	5547.03	5795.89
chrI	30930	0.0128996	1.6642	6137.93	6059.76
chrI	31058	0.00420863	0.388281	3500.41	3485.74
chrI	31072	0.0349999	4.62678	4691.88	4533.22
chrI	31391	0.075935	13.4039	4179.68	3884.69
chrI	31608	-0.0447629	-7.68645	5144.65	5385.73
chrI	31821	-0.0653265	-15.0575	5342.1	5715.47
chrI	31989	0.000166637	0.00645263	3419.82	3419.25
chrI	32158	0.0115011	1.07304	3395.66	3357.05
chrI	32271	0.0719338	12.9116	4433.72	4136.19
chrI	32280	-0.0408605	-7.09843	5594.39	5832.72
chrI	32493	0.0640366	9.34809	3744.23	3518.89
chrI	32511	-0.067083	-15.48	5218.26	5593.49
chrI	32556	0.067877	10.0218	3650.18	3418.17
chrI	32574	-0.0102112	-0.958255	3240.25	3273.68
chrI	32650	0.0880806	16.521	4021.61	3696.06
chrI	32776	-0.0396479	-6.72435	5538.79	5767.46
chrI	33040	0.030658	3.26224	3563.38	3457.39
chrI	33048	0.0197119	1.96655	3596.65	3527.13
chrI	33070	0.0292258	3.06293	3535.14	3434.76
chrI	33077	0.0111345	1.06928	3595.3	3555.71
chrI	33113	-0.0412568	-7.30218	5692.63	5937.6
chrI	33140	-0.0512388	-10.3456	5660.11	5965.8
chrI	33237	-0.0366657	-5.99575	5567.67	5779.59
